#  1024x1024 -qg
1  106357         9975
4  26614          2508
8  13331          1297
12 8919            917
16 6926            736
20 5605            635
24 4713            534
28 4182            470
32 4111            515
36 3779
40 3603
44 3337
48 3118
52 3190
56 3095
60 3089
64 3003
